Pedigree,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
TX303/LH82,2.230861003,-0.996199805,-0.683258408,0.572300618,2.488210216,-0.500542438,-0.320890511,-0.49190602,0.273727573,-0.229339301,0.05029779
TX303/PHB47,2.240840571,-1.954175547,3.032904843,0.31722241,0.073634239,0.616218956,-0.083808644,0.294683594,-0.24477855,-0.655353474,0.492017175
TX303/PHZ51,-3.230432259,-1.840495988,1.157467477,0.322438564,0.807580325,-1.184920387,-0.13329668,-1.021950453,0.107454023,-0.358674583,0.268501424
TX714/PHZ51,-8.643245751,-2.641894593,-0.864263585,-0.100080225,-0.012536445,0.675695877,-0.03047221,0.27660945,-0.772289685,0.341197656,-0.004072579
TX740/LH195,0.670431929,0.033409031,-0.079399291,0.555665805,-0.720390961,1.182729343,-0.268492854,0.326563694,0.663858712,-1.328169461,-0.471883928
TX768/PHB47,2.379962703,-1.939061021,2.775636096,0.595439768,0.093599979,0.59457971,-0.151047364,0.246416219,-0.186243672,-0.502995881,0.42558139
TX768/PHZ51,-3.543632653,-1.725377156,1.402341028,0.294047863,0.674232056,-1.3898158,-0.184346968,-0.911475426,0.243152685,-0.243256855,0.133440264
TX770/LH195,-0.671875641,2.092853483,0.09884867,-0.486240095,0.165374349,1.033630567,2.271911526,0.94243848,1.49737412,0.376692572,-0.436929103
TX770/PHB47,1.542095134,-0.468369725,3.975958138,-0.090790989,0.774535511,0.60211582,1.773355798,0.718847904,0.042364137,0.142737716,0.56581952
TX772W/LH195,0.126220129,0.416244454,-0.363508572,0.518394921,-0.476445419,0.864272866,-0.22487545,0.528967163,1.012372486,-0.868589161,-0.20923164
TX772W/PHB47,2.006269511,-1.417229847,2.955016212,0.520737835,0.100367764,0.681750982,0.148686658,-0.017307408,-0.085874094,-0.787388392,0.496362714
W10001_0007/PHB47,2.582568258,-1.887314723,2.950030391,0.39368275,-0.219231409,0.633421735,-0.313794153,0.21645863,-0.127149603,-0.3781102,0.536605886
W10001_0009/PHB47,2.323865507,-1.956374292,2.563620053,0.518378511,-0.032763678,0.706595111,-0.118352628,0.268321032,-0.273582367,-0.308872076,0.512160638
W10001_0010/PHB47,2.34878763,-1.751464948,2.816674189,0.539758704,0.152842078,0.33830101,-0.18090884,0.247947667,-0.069089776,-0.31661038,0.56510837
W10001_0011/PHB47,2.257021048,-2.044294797,2.832379828,0.393481175,0.093256349,0.574649829,-0.044620858,0.221762356,-0.200974318,-0.230068632,0.504902507
W10001_0012/PHB47,2.11087554,-1.479164677,2.747992686,0.171867768,-0.17108727,0.614005271,-0.367774492,0.324362518,-0.18453572,-0.387998543,0.5053154
W10001_0018/PHB47,2.434288965,-1.638696007,2.908482731,0.595574078,-0.062666569,0.810477672,-0.425226756,0.336869159,-0.216645644,-0.233819048,0.571603499
W10001_0019/PHB47,2.28917125,-2.056716876,2.769090762,0.599229172,-0.094445369,0.499630473,-0.331670411,-0.063628897,-0.005794056,-0.199091255,0.40790582
W10001_0033/PHB47,2.391903126,-1.981103667,2.9698283,0.449251225,-0.26505468,0.645933521,-0.249924243,0.169938899,-0.088054185,-0.212583939,0.415640216
W10001_0047/PHB47,1.875974275,-0.678088132,1.45746311,1.113311885,-0.614707616,1.039103852,-0.122197534,0.047678164,-0.20486147,-0.484719415,0.664703714
W10002_0002/PHB47,2.114853363,-1.732573208,2.378036923,0.526940446,-0.052179192,0.699233762,-0.080852978,0.348753521,0.109616411,-0.58025105,0.474599013
W10004_0032/LH82,3.16166076,-1.666590734,-2.282566529,0.590881402,3.119243996,0.209488941,-0.177503322,0.435629373,0.031573741,0.05398539,0.257247129
W10004_0032/PHZ51,-5.755797292,-3.248446102,0.627091144,0.120646626,0.100143501,-0.412212511,-0.071721527,0.043610885,0.041170335,-0.078289811,0.377145383
W10004_0076/LH82,2.909137748,-1.209750761,-2.595680866,0.559842711,3.14792764,-0.208062002,-0.224947711,0.239218042,0.199542601,-0.243917988,0.450168768
W10004_0076/PHZ51,-5.692216125,-2.756842644,0.311298967,0.463854318,0.04275672,-0.864055124,-0.017542768,-0.267725654,0.060692986,-0.153307214,0.617231145
W10004_0097/LH82,3.180389839,-1.61159663,-1.75975633,0.727549044,2.828707396,-0.095748639,-0.034977607,0.119071445,0.063418094,0.064537632,0.223770401
W10004_0097/PHZ51,-5.021901274,-2.997518267,0.881902885,0.265380029,0.472124853,-0.827451489,-0.056975104,-0.334056132,0.227556615,-0.082713114,0.531822151
W10004_0127/LH82,3.162206413,-1.276801001,-2.323150666,0.627750078,2.997708059,-0.552617181,-0.228608267,0.048490805,0.216628579,-0.219776464,0.381663179
W10004_0127/PHZ51,-5.287165492,-2.709055112,0.601454062,0.322439835,0.273304595,-1.300973082,-0.053571112,-0.375530298,0.182686515,-0.248089055,0.864570242
W10004_0204/LH198,0.943344273,0.985235724,0.03147974,1.45464294,-0.749088355,0.62756255,0.000610847,-0.258427745,-0.206952805,-0.221839697,0.486634679
W10004_0204/LH82,3.537492669,-1.559913625,-1.265117368,0.844770382,3.001014327,0.578984734,-0.050084209,0.383912576,0.1082822,0.240657859,-0.047652634
W10004_0204/PHZ51,-5.097516438,-3.242170513,1.34329796,0.213663502,0.120694177,-0.35756681,0.274256544,-0.300218121,0.144497432,0.114736418,0.371958793
W10004_0232/LH185,-0.488083239,3.434241387,1.874497323,-2.299770516,0.752958336,-0.367850688,-0.391159228,0.366827133,0.114919531,-0.247569505,0.044383077
W10004_0232/LH198,0.749623434,1.28730788,-0.135528754,1.726869285,-0.758503128,0.320917865,0.077106198,-0.872047177,0.012634673,-0.216294016,0.343216926
W10004_0232/PHZ51,-5.590238719,-2.669970757,0.672570327,0.271797049,0.211732153,-0.389008989,0.070479344,-0.328461784,0.128711132,-0.11881308,0.359858017
W10005_0029/PHB47,4.664591651,-4.329643937,3.061911579,-0.799555854,-1.03078772,0.951701366,0.743660259,0.255643276,-0.400729978,0.321506605,-0.9196086
