line_code,ARH1,COH1,GAH2,GAH1,NYH1,NCH1,ARH2,MNH1,MOH1,IAH2,OHH1,MIH1,NYH2,DEH1,IAH4,WIH2,IAH1,WIH1,IAH3
MBNIL B015/3IIH6,NA,NA,NA,NA,NA,NA,NA,139.87,125.725,149,NA,NA,NA,NA,188.47,175.4659514,NA,NA,221.33
MBNIL B015/LH185,NA,NA,NA,NA,NA,NA,NA,174.845,NA,NA,NA,NA,NA,NA,NA,196.94782165,NA,NA,NA
MBNIL B015/PHZ51,NA,NA,NA,NA,NA,NA,NA,131.345,126.275,156.035,NA,NA,NA,NA,160.16,153.89064625,NA,NA,243.3
MBNIL B040/3IIH6,NA,NA,NA,NA,NA,NA,NA,140.93,149.865,140.85,NA,NA,NA,NA,157.485,153.53448055,NA,NA,177.54
MBNIL B040/PHZ51,NA,NA,NA,NA,NA,NA,NA,124.145,110.82,144.81,NA,NA,NA,NA,150.175,181.2012984,NA,NA,221.47
MBNIL B043/3IIH6,NA,NA,NA,NA,NA,NA,NA,127.34,149.15,127.135,NA,NA,NA,NA,170.72,199.18687025,NA,NA,236.515
MBNIL B043/PHZ51,NA,NA,NA,NA,NA,NA,NA,117.19,168.23,156.315,NA,NA,NA,NA,167.415,177.7957988,NA,NA,210.325
MBNIL B044/PHZ51,NA,NA,NA,NA,NA,NA,NA,138.955,109.27,146.12,NA,NA,NA,NA,184.49,165.26874215,NA,NA,243.615
MBNIL B049/PHZ51,NA,NA,NA,NA,NA,NA,NA,116.805,152.91,157.12,NA,NA,NA,NA,207.975,152.9110651,NA,NA,222.955
MBNIL B055/3IIH6,NA,NA,NA,NA,NA,NA,NA,147.06,NA,NA,NA,NA,NA,NA,NA,174.3803825,NA,NA,NA
MBNIL B055/LH185,NA,NA,NA,NA,NA,NA,NA,149.63,152.085,123.855,NA,NA,NA,NA,136.605,198.8307464,NA,NA,220.545
MBNIL B055/PHZ51,NA,NA,NA,NA,NA,NA,NA,130.99,125.915,131.06,NA,NA,NA,NA,162.71,163.08354525,NA,NA,235.535
MBNIL B057/3IIH6,NA,NA,NA,NA,NA,NA,NA,146.43,NA,NA,NA,NA,NA,NA,NA,151.54263905,NA,NA,NA
MBNIL B057/PHZ51,NA,NA,NA,NA,NA,NA,NA,131.815,146.025,109.47,NA,NA,NA,NA,181.285,167.85320285,NA,NA,244.26
MBNIL B065/3IIH6,NA,NA,NA,NA,NA,NA,NA,173.225,106.9,157.5,NA,NA,NA,NA,198.835,159.91311835,NA,NA,197.705
MBNIL B065/PHZ51,NA,NA,NA,NA,NA,NA,NA,114.045,157.855,158.65,NA,NA,NA,NA,177.85,143.5793318,NA,NA,228.73
MBNIL B078/3IIH6,NA,NA,NA,NA,NA,NA,NA,145.45,152.345,119.17,NA,NA,NA,NA,170.17,165.3751065,NA,NA,214.85
MBNIL B078/PHZ51,NA,NA,NA,NA,NA,NA,NA,133.83,137.385,125.48,NA,NA,NA,NA,169.155,154.0045841,NA,NA,222.95
