line_code,NEH4,ONH2,TXH1-Late,ARH1,COH1,NEH3,GAH2,GAH1,NYH1,NCH1,TXH2,ARH2,MNH1,MOH1,IAH2,OHH1,MIH1,NYH3,TXH1-Dry,TXH1-Early,NYH2,ILH1,DEH1,IAH4,ONH1,WIH2,IAH1,WIH1,INH1,IAH3
ICI 441/PHG29,37.89,NA,NA,NA,117.0275,116.61,NA,NA,NA,NA,NA,NA,NA,152.54,169.155,169.09,NA,169.95,NA,NA,NA,162.22,178.25,192.34,NA,187.2001293,165.2,146.26965465,194.865,190.765
ICI 441/PHG47,48.19,NA,NA,NA,115.0725,133.015,NA,NA,NA,NA,NA,NA,NA,183.655,197.245,182.54,NA,164.485,NA,NA,NA,156.63,163.88,196.63,NA,200.93091885,194.145,177.977522,194.92,210.88
ICI 441/PHG83,33.16,NA,NA,NA,57.655,81.01,NA,NA,NA,NA,NA,NA,NA,112.955,156.915,102.695,NA,118.7,NA,NA,NA,199.99,122.025,155.835,NA,127.6562739,138.445,85.669227395,134.645,138.72
ICI 441/PHK56,46.42,NA,NA,NA,106.5425,117.715,NA,NA,NA,NA,NA,NA,NA,183.825,191.695,173.8,NA,198.15,NA,NA,NA,149.65,169.3,217.845,NA,213.90489815,213.215,130.6755647,220.115,200.215
ICI 441/PHN82,56.715,NA,NA,NA,100.2025,170.135,NA,NA,NA,NA,NA,NA,NA,163.69,174.205,129.445,NA,178.95,NA,NA,NA,162.39,180.76,231.605,NA,212.9493766,197.705,214.87016905,210.445,215.6
ICI 441/PHZ51,64.065,NA,NA,NA,118.1025,100.755,NA,NA,NA,NA,NA,NA,NA,182.745,179.795,96.94,NA,181.64,NA,NA,NA,161.13,177.75,205.075,NA,132.1439112,192.165,171.5221027,175.96,195.135
ICI 441/Q381,45.87,NA,NA,NA,106.2825,116.95,NA,NA,NA,NA,NA,NA,NA,137.62,155.795,152.015,NA,182.565,NA,NA,NA,143.385,178.74,182.67,NA,183.02857225,193.6,161.60716485,182.61,196.8
ILL.HY/3IIH6,NA,NA,NA,103.97,NA,NA,NA,NA,83.19,NA,NA,140.78,NA,NA,126.53,147.98,87.92,NA,NA,NA,192.03,178.93,NA,NA,NA,NA,163.93,NA,NA,NA
LAMA2002-58-3-B-B-B-B-B-B-1-B19-B18-B22/LH195,NA,61.735,143.4,144.44,50.6933333333333,NA,NA,126.325,NA,151.32,187.1,NA,NA,NA,199.355,NA,NA,NA,208.925,210.92,NA,NA,203.86,215.97,NA,NA,230.275,NA,NA,252.07
LH123HT/3IIH6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.245,166.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH132/LH51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.335,NA,NA,NA,NA,NA,NA
LH132/PHP02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.73,NA
