line_code,Intcp_mean,Slope_mean,Intcp_para,Slope_para
MBNIL B189/3IIH6,160.3837,1.0904,NA,-3.4095
MBNIL B189/LH185,157.0101,1.2034,NA,-1.7586
MBNIL B189/PHZ51,142.0566,1.2386,NA,-5.008
MBNIL B004/LH185,158.2569,1.1875,NA,-54.9299
MBNIL B015/LH185,162.2337,0.9618,NA,-30.6407
MBNIL B055/3IIH6,136.4412,0.9489,NA,-37.8737
MBNIL B057/3IIH6,138.9869,0.7639,NA,-7.0876
MBNIL B102/3IIH6,151.1717,1.0157,NA,13.068
MBNIL B102/LH185,146.1148,1.0643,NA,-24.5781
MBNIL B123/3IIH6,150.507,1.0724,NA,-87.803
MBNIL B144/3IIH6,144.4965,1.0426,NA,-22.3664
MBNIL B144/LH185,155.8998,1.0649,NA,-31.0335
